DataSetId,SampleId,SampleCode,SampleName,ExperimentId,ExperimentCode,ExperimentName,DataSetId,DataSetName,DataSetLocation,DataSetFiles
20201024001022480-173,20201024000938479-172,ENTRY2,Another one,20201023144758758-47,TESTING_EXP_1,Test exp1,20201024001022480-173,just truing,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/59/6e/a5/20201024001022480-173,"original/bellow/file1.txt, original/bellow/f4.txt"
20201103203915378-660,20201024000938479-172,ENTRY2,Another one,20201023144758758-47,TESTING_EXP_1,Test exp1,20201103203915378-660,Test {} DS,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/21/63/46/20201103203915378-660,original/templateTest.ipynb
20201108200119931-723,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201108200119931-723,TEST_DS_SUN_201108_200119,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/a0/29/f0/20201108200119931-723,"original/DEFAULT/test_connector.py, original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
20201108200230838-724,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201108200230838-724,TEST_DS_SUN_201108_200230,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/c2/dc/df/20201108200230838-724,"original/DEFAULT/test_connector.py, original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
20201110101737485-768,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201110101737485-768,Test {} DS,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/9d/fb/95/20201110101737485-768,original/contentTest.txt
20201110105024012-777,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201110105024012-777,TEST_DS_TUE_201110_105023,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/9f/19/34/20201110105024012-777,"original/DEFAULT/test_connector.py, original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
20201110135840331-918,20201110134803002-917,ENTRY3,Data Inputs,20201110134714165-916,TESTING_EXP_2,Demos,20201110135840331-918,Raw data,missing,"original/DEFAULT/data1.txt, original/DEFAULT/.ongs2_version"
20201110140915192-921,20201110134803002-917,ENTRY3,Data Inputs,20201110134714165-916,TESTING_EXP_2,Demos,20201110140915192-921,_Raw data,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/f2/67/06/20201110140915192-921,"original/DEFAULT/data1.txt, original/DEFAULT/.ongs2_version"
20201110143536306-922,20201110134803002-917,ENTRY3,Data Inputs,20201110134714165-916,TESTING_EXP_2,Demos,20201110143536306-922,_Raw data,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/cc/cf/ea/20201110143536306-922,"original/DEFAULT/data1.txt, original/DEFAULT/.ongs2_version"
20201110144551435-924,20201110144550859-923,JA8,Processing cont,20201110134714165-916,TESTING_EXP_2,Demos,20201110144551435-924,_Processing cont,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/46/57/b0/20201110144551435-924,"original/DEFAULT/out.txt, original/DEFAULT/.ongs2_version"
20201110144821156-927,20201110144820592-926,JA10,Processing cont,20201110134714165-916,TESTING_EXP_2,Demos,20201110144821156-927,_Processing cont,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/de/c3/ca/20201110144821156-927,"original/DEFAULT/out.txt, original/DEFAULT/.ongs2_version"
20201110171121820-932,20201110134803002-917,ENTRY3,Data Inputs,20201110134714165-916,TESTING_EXP_2,Demos,20201110171121820-932,_Raw data,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/d3/49/17/20201110171121820-932,"original/DEFAULT/data1.txt, original/DEFAULT/.ongs2_version"
20201207001718469-1292,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207001718469-1292,90ba659a-3821-11eb-9710-480fcf48a4f0,missing,
20201207010336010-1322,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207010336010-1322,0842fb8a-3828-11eb-9710-480fcf48a4f0,missing,
20201207011129066-1356,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207011129066-1356,223b4ce4-3829-11eb-9710-480fcf48a4f0,missing,
20201207011346369-1369,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207011346369-1369,740db6ba-3829-11eb-9710-480fcf48a4f0,missing,
20201207012543513-1437,20201207012543229-1436,ENTRY37,testing,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207012543513-1437,1fa12ef2-382b-11eb-9710-480fcf48a4f0,missing,"original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
20201207012544012-1438,20201207012543119-1435,ENTRY36,testing,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207012544012-1438,1fa12ef2-382b-11eb-9710-480fcf48a4f0,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/8f/43/88/20201207012544012-1438,"original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
20201207012710482-1446,20201023144825994-48,ENTRY1,New Blog entry,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207012710482-1446,535a7672-382b-11eb-9710-480fcf48a4f0,missing,
20201207012712032-1451,20201207012711699-1450,ENTRY40,testing,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207012712032-1451,545ca98c-382b-11eb-9710-480fcf48a4f0,missing,"original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
20201207012712540-1452,20201207012711589-1449,ENTRY39,testing,20201023144758758-47,TESTING_EXP_1,Test exp1,20201207012712540-1452,545ca98c-382b-11eb-9710-480fcf48a4f0,EFB7F4C1-BE32-4F61-A60E-6CB85CBFCC50/57/c2/18/20201207012712540-1452,"original/DEFAULT/templateTest.ipynb, original/DEFAULT/contentTest.txt, original/DEFAULT/.ongs2_version"
